block_time,hash,label,sender,target
2026-04-24 05:20:23.000 UTC,0x238a8b3d7c6e59dd72024e779bdf9fbe530c0e47f33e2e6402591dc758e299a8,AMM,0xb6b120d2c68fd0920be9df90bc4c7cde69f11828,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:35.000 UTC,0xab37798dfcfa726def78bcf41478ebc740b5d93385d784cd3e827dee5b4782d3,AMM,0x93ae4d9632e252ec8c0c1309d715dcc06118b149,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:35.000 UTC,0x655bea025aedf5681b3640f9265a7101f86af98a86a411ce37c242cd4e5da0ed,AMM,0x22fa3c091c58362fd9399b9bc61f3e24d3d6a4d4,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:35.000 UTC,0x371bfe1981d6a27b6a1bacd0252b2a4d0ccaab38b6e02f744be6acfd7a99f8c9,AMM,0x0ccc8ae7b240c1e468e39a8d8fae6633b231ed76,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:47.000 UTC,0xba181580d130a0fefc1c89d79b337fde5bad00403ccdbc2c945d552d806a466d,AMM,0xf3cc3accbc3df0384d689585bbafdad268003b12,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:59.000 UTC,0x6bd65f03ac6feac98cd6469975708811b95830863d83502b077f97b4c5948ef0,AMM,0x495fbda261dd25f1e46f80c43de051c13fdd7bcb,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:59.000 UTC,0xeecf31e2c57fca253dcd0ca5058b7bb33ec714daba8f605b514815c9cebeae5c,AMM,0xd25914fbe6f589c3c4d75b6cdc57686ab986a542,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:59.000 UTC,0x003d94553c681169402a02eeb51454e032f1fef4d6d901061a9237ca41ecd6b2,AMM,0xcaeea23da02a1c43fb08165983d0237823ec4e47,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:20:59.000 UTC,0x6f9bf5c30da01292ce3d88fef3070d6606e177d373861d4b35bf13a95b43a642,AMM,0x801542a3b9f4d1e51039f6eba4848a9406e8e5de,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:11.000 UTC,0xcdcf6664738be25d94780449da34a880ae30dcbc645bf226140e81aa57943338,AMM,0x121558883de9fb6f632ec2153388e89f663b38ce,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:11.000 UTC,0xa15bc2e69fbf995bc941a115c9c5975c2c70024db8ff56b87c3c6e78859860ce,AMM,0x154cecdba0d6a1149ccacc70c4bac36211a81bcd,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:23.000 UTC,0x9834587a479c9e440929f1c6aea47629aba29ff2153dd1be334482e73ec8191e,AMM,0x55d15ed48fc35c5040c799a196c124d7f7773833,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:23.000 UTC,0xb2b7b2facf41d10068734fd8490963ab467a79bb3166727baedc2cad05e5f6c0,AMM,0xfbf84e4e1d07799635be37073d545d5762c4433d,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:35.000 UTC,0x6c78f440efb8f19f852299f16c09703cf5bf5d82a7e9119c924ba270625879ec,AMM,0x287c1abaa1be68951f27e9470a10d314a1ee6e4f,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:35.000 UTC,0xf5fcb42606c866d110c012fc86fcc6bf95a9666a670e4ecc5cd3d9260d96b023,AMM,0x440277f9d7329eb60ebe7c2f1bcc1566341b4117,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:35.000 UTC,0x0776099c23a9e98599ed3cc66f9066280734573e17149de1b15c01602dbc435b,AMM,0xbdd7c39bcfadef4777bf1d72cc10daf745756d78,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:35.000 UTC,0xbc5fc9c44a8545e54b311c58a32050369a26f73ff9374a74ff13189343693519,AMM,0x3e9dd8088fe88472621f67ac502b784f0d852b71,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:35.000 UTC,0x3e732820920d53da2c73613dc0a83be3cfd620df4e2f04178b7c546d4d6e9279,AMM,0x3b9c89fa75f71dd56861a722641119ca69bc0aed,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:35.000 UTC,0x23a162f3813cd97453d394ce27ff026340b6dd9eb149983834b33395e4a86006,AMM,0xd25914fbe6f589c3c4d75b6cdc57686ab986a542,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:35.000 UTC,0x9ab74971db40fcd7126d0de4f866baf23d01d9cad0d5d485ef53fa3e42a9e725,AMM,0x3c3dd70be82e23448894ca9352d9134bde138915,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:47.000 UTC,0x806f20d78ebb017576723fe4475813abb2dfd7de68edaa93784be5acac5f17a9,AMM,0x9fed6ad04cf7db729a9659cace8f162cab259ca8,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:47.000 UTC,0x9a7bdb5c8c98c1a9f2620511d605bf2516ea2ba91658ef7d1c98b659b27a6b5d,AMM,0x6c7dd55ad86ff808b932c66241f0b3dd982f1346,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:47.000 UTC,0x6784751a8c5ac784e222f87a4e294bc143f662514745a3b89ebbccf0137bbaae,AMM,0x4d0676a78cc0e04db2041ebcbdaca8ecb2288f9e,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:47.000 UTC,0xfbe77c2c42f0705fb1840f86bd63104072f7fdf2b3367d11743e0ec16e3fbf41,AMM,0xf0fb61dae7e3c87b999f0631e4eaf674b17964b2,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:47.000 UTC,0xadf037ca7ec8baaaaf986166fbd049719765d7b1028489e0493fd1cedd808648,AMM,0x38a95dad7af78bf550b71503e487e562270cbc2a,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:21:59.000 UTC,0xe49b4217188a5aa697adfcf48f3b97b21c96d17ca05b97b0be3bcc9577d3409f,AMM,0x9be6e68387d557880790f3259960ec3ef1dd9f4b,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
2026-04-24 05:22:11.000 UTC,0xb9078f9b889e220b6942e67e83596179e3d999375917a2a4817d4af669dafda6,AMM,0xf15754b48e51ecf2bd33d47c1dcaadcf5fe1da3a,0x66a9893cc07d91d95644aedd05d03f95e1dba8af
